Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,UAMIDemo.Web.csproj,File,UAMIDemo.Web.csproj,,,Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 8.0.2,,,,,"Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, 8.0.2  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, and replace with new package Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 10.0.3"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,UAMIDemo.Web.csproj,File,UAMIDemo.Web.csproj,,,Azure.Identity 1.14.0,,,,,"Azure.Identity, 1.14.0  Recommendation:  This version takes a dependency on a deprecated version of MSAL .NET (Microsoft.Identity.Client). Remove Azure.Identity, and replace with new package Azure.Identity, 1.18.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,UAMIDemo.Web.csproj,File,UAMIDemo.Web.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UAMIDemo.Web.csproj,File,Services\KeyVaultService.cs,184,8,T:System.Uri,,,,,"return new SecretClient(new Uri(keyVaultUrl), credential);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UAMIDemo.Web.csproj,File,Services\KeyVaultService.cs,184,8,M:System.Uri.#ctor(System.String),,,,,"return new SecretClient(new Uri(keyVaultUrl), credential);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UAMIDemo.Web.csproj,File,Controllers\ConfigController.cs,185,24,T:System.Uri,,,,,"kvs.Add(new                         {                             name          = kv.Data.Name,                             url           = kv.Data.Properties.VaultUri?.ToString() ?? $""https://{kv.Data.Name}.vault.azure.net/"",                             resourceGroup = ExtractRg(kv.Data.Id?.ToString()),                             location      = kv.Data.Location.ToString()                         });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UAMIDemo.Web.csproj,File,Program.cs,41,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,UAMIDemo.Web.csproj,File,Program.cs,29,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"builder.Services.Configure<AzureSettings>(      builder.Configuration.GetSection(""Azure""));"
